id,popularity
6IfByzdeGt3iIsakTp16vz,41.6
17TO3XH1slhDyqnwypne06,30.45
5chxjST0MfWZPsaHrWgiqe,36.766666666666666
4Db6PxFIiK1a6nCEJABTHk,35.01
3MPKTMJIxlORqcxw542HHK,36.91
6VcRVPVTBPw0VBBLaWnxUd,28.13
5srKMwXoeyrRnyTnNbpgIW,49.85
0Tel1fmuCxEFV6wBLXsEdk,46.52
0opKedsbLA4lXauh3vLwij,37.46
00kRVu8i7miPCOki4eftOh,37.085
0e5UZ9IVx4oa7wCESemEFw,2.96
12Fkyg9lpmaz2zmKOfw2Y2,52.27
5STWTcdDBVkMBkSGw1Ga6i,15.88
3jTavhTXfWlnu8zsn9NCAY,38.33
1x2sGAnOMI0xZd8dZgLdCe,37.24
6vXWPTvqLgWrARnkf7UN9w,12.8
4J85vtoJQoazpZoUeGSiR5,34.12
6c1lmbshhocIyJDNDbOH75,41.54
0tzKyOcYe78OXSdZPWimaJ,40.84
5V1qVYdXSROLjeQL9nTCci,44.98666666666666
43gCbQcWZtkNxqrOvrv6oz,26.84
5NNMzoAvkxX6ZUiLqiAglu,0.33
1UW1cjdH4XuFAL6KdhQecd,35.92
5tJAYcXTr3ZsnjJno5bvOZ,32.44
5RBx3tM9hmVJAOnSUHIWkn,47.05
0wuaT5AUvkTJguxXwZU6QS,4.45
2wQN8tMYOHStr6Q61jh0IK,32.76
1s1RcqY9wVBCiRtazOUqpi,26.86
4dtlsMh8wam865qaU4WEnM,43.385
7jEVW8o2CIfdgziEJXnii8,36.51
65JmIZCsgkw2mbfobxt1CR,45.06
5mrWrdCAOl9KT9lCokRCz1,29.18666666666667
7djxemkRcsWAqrWTye4Vxt,31.08
28cj2OUozhatkBNkhYUA87,27.36
6kD1SNGPkfX9LwaGd1FG92,2.7716666666666665
66olzBxCgKlpFRB1LKH5pO,40.81
1r1YvegGfckWHCAQAFYOm8,10.08
720YcfJfcMrRgn42LCdZZt,32.71
08FaSxzzqD69IdT087WoBj,6.82
6bwRCPiP5Y4Y9RhdTOzTGD,8.27
2rQvZscmpb6a7ejDiKprcL,34.56333333333333
635PqgECfFbL0MNLogX7Yv,42.6
6k2EnzDfpOE5GOX5cCv5zU,36.42
2VSd0rlovKyQnDStM7TYgk,3.29
1FojCmcsEdNgBMobm5v0hD,41.45
0Y2KgPtGisIsdXfCefd7xE,0.33
1SywzbJaeZhb9aqpDytrEt,19.14
3oQI89ONOFsbdo8mkm80fE,14.68
4zRnEeAA8w9VWZ2DKYPJ3b,35.91
4zjrsX1IerxR6MWLmYip9m,8.23
